Transect,TR.Den,TR.Height
101,0.15,66.35516934
102,0.0375,58.73333333
103,0.066666667,35.91666667
105,0.245833333,39.45905797
107,0.095833333,44.04761905
109,0.258333333,48.6456329
116,0.158333333,28.13492063
118,0.083333333,43.7015873
119,0.070833333,48.44871795
120,0.245833333,66.67536232
121,0.033333333,28.44444444
122,0.066666667,37
201,0.075,44.60416667
202,0.020833333,38.16666667
203,0.033333333,49.66666667
204,0.025,9.166666667
205,0.1875,57.47113997
206,0.175,71.16161616
207,0,0
301,0.141666667,35.3361244
305,0.1625,38.65432099
306,0.054166667,53.12962963
307,0.016666667,37.22222222
404,0.095833333,35.92063492
407,0.6,36.50507055
411,0.225,36.32592593
412,0.3375,51.5
413,0.558333333,50.72758621
414,0.15,50.46568627
415,0.6125,53.23849611
416,0.45,57.85836386
501,0.108333333,33.21132898
502,0.079166667,68.35
505,0.008333333,23.5
506,0.358333333,40.37272727
602,0.35,30.41666667
605,0.0125,18.11111111
606,0.095833333,43.9004329
